d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
11_defence,2017-2018,17931.50,18454.57
11_defence,2018-2019,206610.08,208642.92
11_defence,2019-2020,184913.02,182619.43
11_defence,2020-2021,52832.99,49948.70
11_defence,2021-2022,87908.49,68956.63
3_information_technology,2017-2018,2880682.97,2953832.77
3_information_technology,2018-2019,4839406.75,4916069.72
3_information_technology,2019-2020,1644139.47,1629622.99
3_information_technology,2020-2021,1636758.38,1552138.72
3_information_technology,2021-2022,1066107.20,823157.18
6_industrial_products_and_services,2019-2020,2356.05,2299.03
6_industrial_products_and_services,2020-2021,26387.70,25106.62
8_security_and_protection,2017-2018,10077.00,10338.13
8_security_and_protection,2018-2019,10077.00,10233.71
8_security_and_protection,2019-2020,9497.22,9426.65
