d_fiscal_year,total,total_constant_2019_dollars
2017-2018,4280361.10,4393592.09
2018-2019,5371025.48,5443423.14
2019-2020,10735776.43,10627351.18
2020-2021,18138057.68,17254542.01
2021-2022,13346080.24,12403505.33
