owner_org,d_fiscal_year,total
aafc-aac,2017-2018,20947226.14
aafc-aac,2018-2019,25740739.84
aafc-aac,2019-2020,20204489.58
aafc-aac,2020-2021,12404505.75
aandc-aadnc,2017-2018,1364664.72
aandc-aadnc,2018-2019,1062749.85
aandc-aadnc,2019-2020,698359.12
aandc-aadnc,2020-2021,342433.53
acoa-apeca,2019-2020,72474.25
atssc-scdata,2017-2018,30251.04
atssc-scdata,2019-2020,11592.26
cannor,2017-2018,21182.84
cannor,2018-2019,24973
cannor,2020-2021,15519
cas-satj,2017-2018,542605.24
cas-satj,2018-2019,184654.26
cas-satj,2019-2020,252794.94
cas-satj,2020-2021,1551322.18
cbsa-asfc,2017-2018,11914276.58
cbsa-asfc,2018-2019,16027570.82
cbsa-asfc,2019-2020,19452455.3
cbsa-asfc,2020-2021,20289536.66
ced-dec,2017-2018,52152.75
ced-dec,2018-2019,22003.28
ced-dec,2019-2020,12007.22
cer-rec,2017-2018,100756.63
cer-rec,2018-2019,98884.84
cer-rec,2019-2020,141561.82
cer-rec,2020-2021,7552.44
cfia-acia,2017-2018,5847903.94
cfia-acia,2018-2019,6855845.01
cfia-acia,2019-2020,5695438.3
cfia-acia,2020-2021,6882655.59
cgc-ccg,2017-2018,2453114.6
cgc-ccg,2018-2019,3024095.58
cgc-ccg,2019-2020,1695852.87
cgc-ccg,2020-2021,1714355.89
chrc-ccdp,2018-2019,5927.09
chrc-ccdp,2019-2020,5943.33
chrc-ccdp,2020-2021,5927.09
cic,2017-2018,400102.62
cic,2018-2019,481399.94
cic,2019-2020,671401.29
cic,2020-2021,1451120.15
cihr-irsc,2018-2019,15447.1
cnsc-ccsn,2017-2018,232392.28
cnsc-ccsn,2018-2019,750555.04
cnsc-ccsn,2019-2020,393692.48
cnsc-ccsn,2020-2021,863608.05
cra-arc,2017-2018,553138.05
cra-arc,2018-2019,1039385.4
cra-arc,2019-2020,1233498.39
cra-arc,2020-2021,1089230
crtc,2020-2021,15802
csa-asc,2017-2018,2058792.32
csa-asc,2018-2019,2033027.85
csa-asc,2019-2020,1772152.35
csa-asc,2020-2021,507744.39
csc-scc,2017-2018,52659492.19
csc-scc,2018-2019,43739713.72
csc-scc,2019-2020,39230374.7
csc-scc,2020-2021,50651175.53
csps-efpc,2017-2018,39867.51
csps-efpc,2018-2019,13730.86
csps-efpc,2019-2020,21523.33
cta-otc,2017-2018,260993.22
cta-otc,2018-2019,194058.14
cta-otc,2019-2020,6553.67
cta-otc,2020-2021,30573.86
dfatd-maecd,2017-2018,10065131.46
dfatd-maecd,2018-2019,8076992.52
dfatd-maecd,2019-2020,13337284.97
dfatd-maecd,2020-2021,10242429.24
dfo-mpo,2017-2018,34681440.47
dfo-mpo,2018-2019,43848408.38
dfo-mpo,2019-2020,48042188.86
dfo-mpo,2020-2021,80751753.73
dnd-mdn,2017-2018,653553041.32
dnd-mdn,2018-2019,692250563.83
dnd-mdn,2019-2020,640271189.14
dnd-mdn,2020-2021,582605115.47
ec,2017-2018,22727382.81
ec,2018-2019,21345874.03
ec,2019-2020,27543275.06
ec,2020-2021,25947677.9
elections,2017-2018,187386.89
elections,2018-2019,1181411.23
elections,2019-2020,1293842.11
elections,2020-2021,1428905.81
esdc-edsc,2017-2018,651371.39
esdc-edsc,2018-2019,70168.87
esdc-edsc,2019-2020,512775.93
esdc-edsc,2020-2021,1832572.64
fcac-acfc,2019-2020,11610.75
fcac-acfc,2020-2021,889.88
feddevontario,2018-2019,94.61
feddevontario,2019-2020,1731.32
feddevontario,2020-2021,1726.59
fin,2018-2019,23683.67
fintrac-canafe,2018-2019,16644.85
fintrac-canafe,2019-2020,41438.96
fpcc-cpac,2019-2020,57930.94
hc-sc,2017-2018,17030292.88
hc-sc,2018-2019,15025810.37
hc-sc,2019-2020,10813047.75
hc-sc,2020-2021,13939114.77
ic,2017-2018,4088660.56
ic,2018-2019,2422558.7
ic,2019-2020,1394367.32
ic,2020-2021,3107104.06
ijc-cmi,2017-2018,37025.69
infc,2017-2018,36209.6
infc,2018-2019,26963.16
infc,2019-2020,193181.97
infc,2020-2021,16492.93
irb-cisr,2019-2020,117938.57
irb-cisr,2020-2021,218640.7
isc-sac,2017-2018,1052284.24
isc-sac,2018-2019,760176.6
isc-sac,2019-2020,996838.9
isc-sac,2020-2021,1478072.33
jus,2017-2018,46830.72
jus,2018-2019,14617.16
jus,2019-2020,49978.56
jus,2020-2021,72776.83
lac-bac,2017-2018,288295.1
lac-bac,2018-2019,281079.05
lac-bac,2019-2020,738904.48
lac-bac,2020-2021,762115.58
mgerc-ceegm,2017-2018,20374.65
mgerc-ceegm,2018-2019,21541.09
nbc-ccbn,2017-2018,25324
nbc-ccbn,2018-2019,130500.55
nbc-ccbn,2019-2020,16259.31
nbc-ccbn,2020-2021,60540.4
nfb-onf,2017-2018,72860.49
nfb-onf,2018-2019,47111.69
nfb-onf,2019-2020,80768.41
nrc-cnrc,2017-2018,31295008.96
nrc-cnrc,2018-2019,27932021.46
nrc-cnrc,2019-2020,28491321.89
nrc-cnrc,2020-2021,44449837.97
nrcan-rncan,2017-2018,14266205.38
nrcan-rncan,2018-2019,12960744.94
nrcan-rncan,2019-2020,9966155.59
nrcan-rncan,2020-2021,8694750.15
nserc-crsng,2017-2018,28250
nserc-crsng,2018-2019,22140.66
nserc-crsng,2020-2021,7813.07
nsira-ossnr,2020-2021,133692.04
oag-bvg,2017-2018,16950
oag-bvg,2019-2020,200101.64
ocol-clo,2020-2021,12011.07
opc-cpvp,2018-2019,428.8
opc-cpvp,2019-2020,21991.32
osgg-bsgg,2018-2019,21934.9
osgg-bsgg,2019-2020,12619.88
osgg-bsgg,2020-2021,6309.94
pbc-clcc,2017-2018,36602.96
pbc-clcc,2020-2021,55852.96
pc,2017-2018,12780221.33
pc,2018-2019,13390696.53
pc,2019-2020,14292132.8
pc,2020-2021,10751315.05
pch,2017-2018,3366477.05
pch,2018-2019,3138236.68
pch,2019-2020,3622758.59
pch,2020-2021,3758436.91
pco-bcp,2017-2018,674306.82
pco-bcp,2018-2019,236549.44
pco-bcp,2019-2020,432759.1
pco-bcp,2020-2021,2353052.47
phac-aspc,2017-2018,7196422.6
phac-aspc,2018-2019,6969641.78
phac-aspc,2019-2020,9403446.85
phac-aspc,2020-2021,176627818.67
polar-polaire,2018-2019,1824.77
polar-polaire,2019-2020,113788.5
polar-polaire,2020-2021,71878.84
ppsc-sppc,2017-2018,35673.36
ppsc-sppc,2018-2019,39843.48
ppsc-sppc,2019-2020,87793.86
ppsc-sppc,2020-2021,220028.59
ps-sp,2017-2018,24991.08
pwgsc-tpsgc,2017-2018,41570403.93
pwgsc-tpsgc,2018-2019,39429848.44
pwgsc-tpsgc,2019-2020,25317492.39
pwgsc-tpsgc,2020-2021,25082155.45
rcmp-grc,2017-2018,37214422.88
rcmp-grc,2018-2019,34909475.8
rcmp-grc,2019-2020,41410090.84
rcmp-grc,2020-2021,38520033.53
sirc-csars,2017-2018,14414.34
ssc-spc,2017-2018,43184248.79
ssc-spc,2018-2019,43658989.21
ssc-spc,2019-2020,44683885.77
ssc-spc,2020-2021,44278037.95
statcan,2017-2018,503328.22
statcan,2018-2019,301910.94
statcan,2019-2020,372395.97
statcan,2020-2021,544113.87
tbs-sct,2017-2018,29525.77
tbs-sct,2019-2020,29572.6
tbs-sct,2020-2021,76500.85
tc,2017-2018,6981099.11
tc,2018-2019,4451584.86
tc,2019-2020,10296300
tc,2020-2021,8523623.22
tsb-bst,2017-2018,25945.85
tsb-bst,2018-2019,118304.11
tsb-bst,2019-2020,117789.33
tsb-bst,2020-2021,94291.54
vac-acc,2017-2018,542332.81
vac-acc,2018-2019,579086.34
vac-acc,2019-2020,660047.17
vac-acc,2020-2021,664458.88
