owner_org,overall_total
dnd-mdn,1080216897.94
phac-aspc,199038864.45
ssc-spc,173993744.22
rcmp-grc,122370705.79
pwgsc-tpsgc,122260892.57
nrc-cnrc,120909436.58
csc-scc,112069816.58
dfo-mpo,95922126.5
ec,93749061.55
aafc-aac,77650258.62
cbsa-asfc,63581644.96
hc-sc,56296240.19
pc,47850635.09
nrcan-rncan,44057440.78
dfatd-maecd,33155149.87
cfia-acia,25192993.85
pch,12950474.74
ic,9861009
cgc-ccg,8776117.28
tc,6218432.17
csa-asc,5804516.49
isc-sac,4257232.87
elections,3876401.12
pco-bcp,3598354.89
aandc-aadnc,3452674.68
cic,2973998.41
esdc-edsc,2811408.53
vac-acc,2445925.2
cas-satj,2358935.6
cnsc-ccsn,2240247.84
statcan,1317188
cra-arc,1214760.8
lac-bac,708036.46
ppsc-sppc,351546.52
cer-rec,348755.72
irb-cisr,336579.27
infc,261638.07
nbc-ccbn,232624.26
nfb-onf,200740.58
polar-polaire,187492.12
tbs-sct,135599.22
nsira-ossnr,133692.04
oag-bvg,129861.68
tsb-bst,123275.76
jus,96431.49
pbc-clcc,92455.92
ced-dec,86163.25
cannor,61674.84
nserc-crsng,58203.73
fpcc-cpac,57930.94
csps-efpc,46220.26
mgerc-ceegm,41915.74
fintrac-canafe,41389.86
osgg-bsgg,40864.71
ijc-cmi,37025.69
ps-sp,24991.08
opc-cpvp,22420.12
atssc-scdata,19047.09
chrc-ccdp,17797.5
crtc,15802
cihr-irsc,15447.1
sirc-csars,14414.34
fcac-acfc,12500.62
ocol-clo,12011.07
