d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2021-2022,44763.15,40465.18
10_office_management,2022-2023,93722.85,84656.51
2_professional_services,2017-2018,150158.65,154469.22
2_professional_services,2018-2019,358955.54,366836.72
2_professional_services,2019-2020,52627.60,52377.70
2_professional_services,2020-2021,423531.63,402905.27
2_professional_services,2021-2022,15584969.87,14414360.03
2_professional_services,2022-2023,15270920.72,13606042.75
3_information_technology,2017-2018,23394.01,24115.30
3_information_technology,2018-2019,27455.99,27982.13
9_human_capital,2017-2018,28476.00,29300.86
9_human_capital,2018-2019,14371.88,14523.19
9_human_capital,2022-2023,22749.20,20356.08
