owner_org,d_fiscal_year,total
aafc-aac,2017-2018,19890.92
aafc-aac,2018-2019,11299.55
aafc-aac,2019-2020,43366.16
aafc-aac,2020-2021,234363.34
aandc-aadnc,2017-2018,22824.60
aandc-aadnc,2018-2019,26123.52
aandc-aadnc,2019-2020,37894.74
aandc-aadnc,2020-2021,11683.17
cbsa-asfc,2017-2018,430063.58
cbsa-asfc,2018-2019,89154.80
cbsa-asfc,2019-2020,7624.04
cfia-acia,2017-2018,2334321.38
cfia-acia,2018-2019,2129069.08
cfia-acia,2019-2020,1656844.01
cfia-acia,2020-2021,565378.31
chrc-ccdp,2017-2018,24995.60
chrc-ccdp,2018-2019,24860.00
chrc-ccdp,2019-2020,23984.25
cic,2017-2018,32042.47
cic,2018-2019,264005.02
cic,2019-2020,357069.92
cic,2020-2021,279428.50
cnsc-ccsn,2017-2018,460289.37
cnsc-ccsn,2018-2019,469595.31
cnsc-ccsn,2019-2020,228189.19
cnsc-ccsn,2020-2021,49390.09
cpc-cpp,2017-2018,41608.65
cpc-cpp,2018-2019,7478.55
cpc-cpp,2019-2020,104638.00
crtc,2017-2018,1731424.95
crtc,2018-2019,1815542.22
crtc,2019-2020,2097982.15
crtc,2020-2021,2528621.58
csa-asc,2017-2018,61979.73
csa-asc,2018-2019,17120.27
dfatd-maecd,2017-2018,192285.33
dfatd-maecd,2018-2019,84327.38
dfo-mpo,2017-2018,59217.38
dfo-mpo,2018-2019,100020.70
dfo-mpo,2019-2020,1448457.07
dfo-mpo,2020-2021,4085746.25
dnd-mdn,2018-2019,228706.82
dnd-mdn,2019-2020,251881.41
dnd-mdn,2020-2021,39139.52
ec,2017-2018,114747.03
ec,2018-2019,206972.50
ec,2019-2020,55719.28
ec,2020-2021,181072.64
elections,2017-2018,140324.10
elections,2018-2019,1155786.76
elections,2019-2020,1254002.52
elections,2020-2021,360754.34
esdc-edsc,2017-2018,66998.83
esdc-edsc,2018-2019,12924.69
esdc-edsc,2019-2020,277134.60
esdc-edsc,2020-2021,154272.50
iaac-aeic,2019-2020,79326.00
iaac-aeic,2020-2021,247912.57
ic,2017-2018,762934.04
ic,2018-2019,1443175.89
ic,2019-2020,5042068.96
ic,2020-2021,6213761.14
infc,2017-2018,11423.07
infc,2018-2019,38522.93
irb-cisr,2019-2020,44896.62
irb-cisr,2020-2021,40473.30
isc-sac,2018-2019,3298.92
isc-sac,2019-2020,11390.63
lac-bac,2017-2018,49132.69
mgerc-ceegm,2019-2020,28966.83
mgerc-ceegm,2020-2021,15780.17
nrcan-rncan,2017-2018,75346.65
nrcan-rncan,2018-2019,57482.63
nrcan-rncan,2019-2020,77160.75
nrcan-rncan,2020-2021,151064.44
nserc-crsng,2018-2019,24408.00
nsira-ossnr,2019-2020,1259.26
nsira-ossnr,2020-2021,15740.74
osfi-bsif,2017-2018,3703.66
osfi-bsif,2018-2019,22912.46
osfi-bsif,2019-2020,22975.23
pbc-clcc,2018-2019,18362.50
pbc-clcc,2019-2020,18362.50
pco-bcp,2017-2018,92706.26
pco-bcp,2018-2019,79709.70
pco-bcp,2019-2020,46830.25
pco-bcp,2020-2021,55362.42
polar-polaire,2018-2019,13345.92
polar-polaire,2019-2020,61057.60
polar-polaire,2020-2021,10343.09
ps-sp,2017-2018,276154.34
ps-sp,2018-2019,221879.79
ps-sp,2019-2020,94176.12
ps-sp,2020-2021,44672.73
pwgsc-tpsgc,2018-2019,789309.75
ssc-spc,2017-2018,104281.34
ssc-spc,2018-2019,17239.74
ssc-spc,2019-2020,65733.56
ssc-spc,2020-2021,51270.98
tbs-sct,2017-2018,337699.48
tbs-sct,2018-2019,337699.48
tbs-sct,2019-2020,338624.69
tbs-sct,2020-2021,653263.99
tc,2017-2018,31011.60
tc,2019-2020,46577.38
tc,2020-2021,73689.30
vrab-tacra,2018-2019,26967.50
vrab-tacra,2019-2020,23747.50
