normalized_vendor_name,original_vendor_name
"NAV CANADA",Nav Canada
"NAV CANADA","NAV CANADA"
"NAV CANADA","NAVCANADA"
"NAV CANADA","NAVCAN"
"NAV CANADA","NAV Canada"
"NAV CANADA",NavCanada Training and Conference Centre
"NAV CANADA","NAV Canada Training and Conference Centre"
"NAV CANADA",NavCan Training and Conference Ctr
"NAV CANADA",NavCan Training and Conference Centre
"NAV CANADA",Nav Canada Training and Conference Centre
"NAV CANADA",Nav Canada Training Institute
"NAV CANADA",Nav Canada Training & Conference Centre
"NAV CANADA","NAV CANADA Training and Conference Centre"
"NAV CANADA","NAV CANADA Conference Centre"
"NAV CANADA","NAV CANADA Training Institute and Conference Centre(NCTI)"
"NAV CANADA","NAVCAN Training Institute and Conference facility"
"NAV CANADA",NavCanada
"NAV CANADA","NAV CANADA TRAINING & CONFERENCE CENTRE"
"NAV CANADA","NAV CANADA TRAINING AND CONFERENCE CENTRE"
"NAV CANADA",Nav Canada (Ottawa)
"NAV CANADA","NAV CAN"
"NAV CANADA",Nav Canada Training Institute & Conference Centre(NCTI)
"NAV CANADA","NAv Canada"
"NAV CANADA","NAVCA"
"NAV CANADA",Nav Canada Training and Conference Center
"NAV CANADA","NAVCAN Centre"
"NAV CANADA","NAV Canada HQ"
