d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,257983.14
1_facilities_and_construction,2018-2019,819028.87
1_facilities_and_construction,2019-2020,3383441.90
1_facilities_and_construction,2020-2021,1329572.31
10_office_management,2017-2018,1907652.83
10_office_management,2018-2019,16718.56
10_office_management,2019-2020,17498.22
10_office_management,2020-2021,6979.10
11_defence,2017-2018,11589.65
11_defence,2018-2019,11589.65
11_defence,2019-2020,11621.41
11_defence,2020-2021,11589.65
2_professional_services,2017-2018,6502919.03
2_professional_services,2018-2019,20840247.35
2_professional_services,2019-2020,5532460.12
2_professional_services,2020-2021,5541630.29
3_information_technology,2017-2018,26291.33
3_information_technology,2018-2019,68433.93
3_information_technology,2019-2020,162150.89
3_information_technology,2020-2021,366667.00
4_medical,2017-2018,11170.49
4_medical,2018-2019,5798.89
6_industrial_products_and_services,2017-2018,994400.00
9_human_capital,2020-2021,3880.72
NA,2018-2019,147804.21
NA,2019-2020,166450.28
NA,2020-2021,165995.50
