d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1370226.74,1414758.62
2018-2019,399053.87,408867.61
2019-2020,263484.28,258704.65
2020-2021,623879.22,593773.00
2021-2022,1167776.04,1083782.37
