d_most_recent_category,total
11_defence,18040644084.43
1_facilities_and_construction,8062740066.40
6_industrial_products_and_services,3977937620.21
2_professional_services,1824470895.80
4_medical,1079705403.21
8_security_and_protection,602650316.94
10_office_management,270376439.11
9_human_capital,239746079.29
0_other,12381108.41
7_travel,1766204.75
