d_most_recent_category,min_overall_value,n
0_other,10067.69,98
1_facilities_and_construction,-336171.33,19183
10_office_management,0.00,6265
11_defence,0.00,32264
2_professional_services,0.00,7707
4_medical,0.00,582
6_industrial_products_and_services,-471028.22,14126
7_travel,12247.60,5
8_security_and_protection,0.00,1071
9_human_capital,0.00,2216
