d_most_recent_category,contracts,contracts_with_amendments,has_amendments_percentage
0_other,94,4,0.0426
1_facilities_and_construction,17810,2124,0.1193
10_office_management,5617,226,0.0402
11_defence,30688,1423,0.0464
2_professional_services,7043,1541,0.2188
4_medical,533,37,0.0694
6_industrial_products_and_services,13658,521,0.0381
7_travel,4,0,0
8_security_and_protection,1054,156,0.148
9_human_capital,2144,222,0.1035
