d_most_recent_category,min_overall_value,n
0_other,10067.69,94
1_facilities_and_construction,-336171.33,17810
10_office_management,0.00,5617
11_defence,0.00,30688
2_professional_services,0.00,7043
4_medical,0.00,533
6_industrial_products_and_services,-471028.22,13658
7_travel,12247.60,4
8_security_and_protection,0.00,1054
9_human_capital,0.00,2144
