d_most_recent_category,total
11_defence,12083427707.38
1_facilities_and_construction,6597598907.41
6_industrial_products_and_services,2944967176.90
2_professional_services,1676884412.55
4_medical,842267448.48
8_security_and_protection,396492434.02
10_office_management,252409013.86
9_human_capital,154196793.66
NA,7944407.35
7_travel,157524.37
