d_most_recent_category,mean_original_value,mean_overall_value,n
0_other,85247.09,85921.02,94
1_facilities_and_construction,371489.45,386042.12,17810
10_office_management,38803.49,40101.88,5617
11_defence,439278.24,450160.35,30688
2_professional_services,250160.94,316457.95,7043
4_medical,634417.22,2014041.11,533
6_industrial_products_and_services,201552.07,204481.09,13658
7_travel,36228.64,36228.64,4
8_security_and_protection,632134.32,646138.65,1054
9_human_capital,79650.18,93071.55,2144
