d_most_recent_category,max_overall_value,n
0_other,1988550.00,94
1_facilities_and_construction,797556147.13,17810
10_office_management,19800000.00,5617
11_defence,2447262476.00,30688
2_professional_services,225730259.41,7043
4_medical,995555367.00,533
6_industrial_products_and_services,591565976.07,13658
7_travel,72557.31,4
8_security_and_protection,27329705.28,1054
9_human_capital,14315115.23,2144
