d_most_recent_category,total
11_defence,9326420741.27
1_facilities_and_construction,6646913963.14
2_professional_services,4743782502.68
10_office_management,1838728901.5
6_industrial_products_and_services,1080216897.94
4_medical,851547179.55
8_security_and_protection,391058475.96
9_human_capital,69575232.22
NA,7944407.35
7_travel,157524.37
