d_most_recent_category,max_years,n
0_other,3,94
1_facilities_and_construction,183.33,17810
10_office_management,8.54,5617
11_defence,1025.96,30688
2_professional_services,903.6,7043
4_medical,7.44,533
6_industrial_products_and_services,19.01,13658
7_travel,0.05,4
8_security_and_protection,6.01,1054
9_human_capital,10.01,2144
