d_most_recent_category,total_amendment_increase_value,n
0_other,57473.40,4
1_facilities_and_construction,255274616.01,2124
10_office_management,6839894.68,226
11_defence,331595381.53,1423
2_professional_services,392845803.75,1541
4_medical,735404246.21,37
6_industrial_products_and_services,40782357.46,521
8_security_and_protection,14496141.11,156
9_human_capital,28540013.25,222
