d_most_recent_category,total
11_defence,22656777505.83
1_facilities_and_construction,11008461184.62
6_industrial_products_and_services,4898557732.92
2_professional_services,2267685094.52
4_medical,1830945433.03
8_security_and_protection,852800838.86
10_office_management,323300241.11
9_human_capital,289721549.60
0_other,15008575.82
7_travel,2452895.80
