d_fiscal_year,total,total_constant_2019_dollars
2017-2018,2952373.23,3040939.75
2018-2019,3031885.09,3092395.60
2019-2020,3384940.76,3354928.63
2020-2021,1586116.00,1515751.04
2021-2022,2919584.61,2709984.23
2022-2023,4747102.27,4236204.36
