d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2017-2018,185733.30,191210.89
10_office_management,2018-2019,479097.36,486480.57
10_office_management,2019-2020,1172682.57,1158841.15
10_office_management,2020-2021,2348372.05,2237575.76
10_office_management,2021-2022,2229841.33,2086346.71
2_professional_services,2017-2018,1037780.02,1069562.87
2_professional_services,2018-2019,1216887.11,1239946.81
2_professional_services,2019-2020,1303245.78,1292445.33
2_professional_services,2020-2021,1278106.88,1218514.46
2_professional_services,2021-2022,680619.72,636808.36
3_information_technology,2018-2019,24612.30,24822.20
6_industrial_products_and_services,2018-2019,10396.00,10484.66
6_industrial_products_and_services,2020-2021,67276.16,64646.42
