d_vendor_name,overall_total
ANTHONY MACAULEY ASSOCIATES VICTORIA,1289178.7600000002
AVI SPL CANADA,555418.7036712329
CLIFTON ENGINEERING GROUP,367500
MICROSOFT CANADA,279346.60709523945
MNP,245547.21
OXFORD ECONOMICS USA,202805.38
XEROX,165228.01679079953
THE CENTRE FOR INNOVATION STUDIES THECIS,161314.05652173914
WATERSMART SOLUTIONS,152290
THE CONFERENCE BOARD OF CANADA,141002.5
ECONOMIC MODELING,100800
MCCARTHY TETRAULT,100000
MARK MACLEOD,99720
DELOITTE AND TOUCHE,96600
LIONBRIDGE,89270
CLUSTER NAVIGATORS,87126.85
CANADA WEST FOUNDATION,85828.85
TENEN CONSULTING,81499.45
TURTLEHAWK SOLUTIONS,80192.70712722298
ACNIELSEN COMPANY OF CANADA,77727.05
SKYRIDGE SYSTEMS,74602.03
OFFSET MARKET EXCHANGE,73450
PRICEWATERHOUSE COOPERS,72204.9
OPENTEXT,66162.67
BOYDEN CALGARY,52500
MELCHER MEDIA DESIGN,51187.5
FRASER LIKELY PR C PERFORMANCE,49720
GLOBAL FEDERATION OF COMPETITIVENESS COUNCILS,48726.85
LUXURY HOTELS INTERNATIONAL OF CANADA,46320.96
FOX TRANSLATIONS,45200
PASCALE GREGOIRE,45200
ADVANCED CHIPPEWA TECHNOLOGIES,40579.880000000005
WORKDYNAMICS TECHNOLOGIES,38942.4
MELTWATER NEWS CANADA,34465
GREGORY SPENCER,32996
THE MASHA KRUPP TRANSLATION GROUP,32812.5
EPERFORMANCE,32240.25
MAVIS MCRAE,31500.000000000004
ADVANCED BUSINESS INTERIORS,31486.809999999998
AG WEST BIO,30000
PRAIRIE RESEARCH ASSOCIATES,29064
NISHA TECHONOLOGIES,28042.190000000002
EDGEWOOD HOLDINGS 2013,27300
1026219 B C UNLIMITED LIABILITY COMPANY,26904
ERNST YOUNG,26250
BRITISH COLUMBIA INNOVATION COUNCIL,24937.499999999996
GLOBAL TOTAL OFFICE,24617.56
ALTIS HUMAN RESOURCES,24139.245514705883
HONGER INNOVATIONS,23520
CDW CANADA,22867.881147540986
SHIRLEY LESLIE TOOGOOD DONNA HARRIS,22680
INSTITUTE ON GOVERNANCE,22499.999999999996
3696693 CANADA,22305.16
CARVEIRA GROUP CONSULTING,22050
INNOVATE BC,21827.4
R J R INNOVATIONS,21732.920000000002
GELINAS ANGIE,21245.7
ADFARM PARTNERSHIP,21000
ASSEMBLY OF FIRST NATIONS ALBERTA ASSOCIATION,21000
TAG HR THE ASSOCIATES GROUP,20748.58
PERFORMANCE INSTITUTE ON GOVERNANCE,20000
ENTWISTLE GARY,19950
CHASE OFFICE INTERIORS,19585.149999999998
PLAN4WARD CONSULTING,19425
SYNERGY OUTCOMES,17718.75
PATH COWORK SPACE,17640
CARAHSOFT TECHNOLOGY,17401.129999999997
ASOKAN BUSINESS INTERIORS,17091.25
REGINA DOWNTOWN HOTEL,16670.66
REFINITIV CANADA HOLDINGS,16380
SOFTCHOICE,16028.25
THOMAS REUTERS CANADA,15825.6
J KENT STEWART CONSULTING,15750
ENVIRONICS ANALYTICS GROUP,15629.343365253077
POWER HR,15120
CANADIAN INSTITUTE OF EXPONENTIAL GROWTH,14175
ALPHINAT,13650
ORACLE CANADA,13551.740000000002
CNW GROUP,12995
MCCRUM S DIRECT SALES,12703.680000000002
EQUIFAX CANADA,12608.720000000001
PUBLIC POLICY FORUM,12430
HAWORTH,12270.44
SOLUTIONS WORKPLACE FURNISHINGS,11842.140000000001
4TE,11300
1955886 ALBERTA,11235
GLOBAL KNOWLEDGE,10815
BENCHMARK PUBLIC RELATIONS,10500
MEDISTAT,10500
AYRSONICS,10151.19
KISIK,10040.630000000001
CANON,5858.160000000001
