d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,18231.77,18695.29
it_consulting_services,2018-2019,55484.16,56368.80
it_consulting_services,2019-2020,72187.50,71095.91
it_devices_equipment,2019-2020,28042.19,27992.60
it_other,2017-2018,252551.38,258523.16
it_other,2019-2020,85905.46,84274.40
it_other,2020-2021,21959.66,20878.01
it_other,2021-2022,5535.05,5233.72
it_software_licensing,2017-2018,172526.40,176851.22
it_software_licensing,2018-2019,197680.49,200027.38
it_software_licensing,2019-2020,305857.15,304205.61
it_software_licensing,2020-2021,98057.26,93250.57
it_software_licensing,2021-2022,44476.14,41357.02
