d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
ACNIELSEN COMPANY OF CANADA,2018-2019,77727.05,78682.02
ADVANCED BUSINESS INTERIORS,2019-2020,31486.81,31204.07
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,40579.88,40571.66
ALTIS HUMAN RESOURCES,2017-2018,24139.25,24749.26
ASOKAN BUSINESS INTERIORS,2019-2020,17091.25,16933.21
AVI SPL CANADA,2017-2018,252551.38,258523.16
AVI SPL CANADA,2018-2019,93309.45,94674.23
AVI SPL CANADA,2019-2020,94136.88,92602.17
AVI SPL CANADA,2020-2021,21959.66,20878.01
AVI SPL CANADA,2021-2022,5535.05,5233.72
CANON,2019-2020,5858.16,5716.39
CARAHSOFT TECHNOLOGY,2018-2019,4290.69,4332.91
CARAHSOFT TECHNOLOGY,2019-2020,13110.44,13068.18
CDW CANADA,2020-2021,22867.88,21764.10
CDW CANADA,2021-2022,3702.42,3500.86
CISION CANADA,2019-2020,12995.00,12885.34
DELOITTE,2017-2018,21000.00,21514.52
DELOITTE,2018-2019,49350.00,50160.17
DELOITTE,2020-2021,26250.00,25160.92
EPERFORMANCE,2019-2020,32240.25,32331.74
ERNST YOUNG,2020-2021,26250.00,24779.47
GLOBAL KNOWLEDGE,2019-2020,10815.00,10840.66
GLOBAL TOTAL OFFICE,2019-2020,24617.56,24389.93
HAWORTH,2018-2019,12270.44,12391.17
INSTITUTE ON GOVERNANCE,2018-2019,22500.00,22905.77
LIONBRIDGE,2018-2019,49720.00,50493.22
LIONBRIDGE,2019-2020,39550.00,39216.24
MCCARTHY TETRAULT,2017-2018,100000.00,102468.27
MELTWATER NEWS CANADA,2019-2020,16950.00,16806.96
MELTWATER NEWS CANADA,2020-2021,17515.00,16650.99
MICROSOFT CANADA,2017-2018,67796.30,69553.13
MICROSOFT CANADA,2019-2020,176315.63,175093.47
MICROSOFT CANADA,2020-2021,35234.67,33502.71
MICROSOFT CANADA,2021-2022,36155.33,33568.23
MNP,2019-2020,135286.35,133262.81
MNP,2020-2021,110260.86,105070.56
NISHA TECHONOLOGIES,2019-2020,28042.19,27992.60
OPENTEXT,2019-2020,30826.35,30566.21
OPENTEXT,2020-2021,35336.32,33593.19
ORACLE CANADA,2018-2019,148.11,149.56
ORACLE CANADA,2019-2020,13403.63,13292.86
OXFORD ECONOMICS USA,2018-2019,202805.38,204800.78
PRICEWATERHOUSE COOPERS,2017-2018,20780.10,21275.49
PRICEWATERHOUSE COOPERS,2018-2019,51424.80,52141.24
SOFTCHOICE,2017-2018,3952.17,4045.33
SOFTCHOICE,2018-2019,12076.08,12286.46
TAG HR THE ASSOCIATES GROUP,2017-2018,20748.58,21307.49
THE CONFERENCE BOARD OF CANADA,2017-2018,3811.30,3901.14
THE CONFERENCE BOARD OF CANADA,2018-2019,41063.70,41724.07
THE CONFERENCE BOARD OF CANADA,2019-2020,96127.50,96469.29
THE MASHA KRUPP TRANSLATION GROUP,2018-2019,7720.59,7796.55
THE MASHA KRUPP TRANSLATION GROUP,2019-2020,25091.91,25181.13
THOMSON REUTERS,2017-2018,10535.95,10802.81
THOMSON REUTERS,2018-2019,5289.65,5399.59
WORKDYNAMICS TECHNOLOGIES,2017-2018,38942.40,39874.23
XEROX,2017-2018,3737.32,3833.77
XEROX,2018-2019,4618.39,4690.22
XEROX,2019-2020,86754.49,86810.07
XEROX,2020-2021,4618.39,4390.57
XEROX,2021-2022,4618.39,4287.92
