d_fiscal_year,total,total_constant_2019_dollars
2017-2018,796085.63,819612.39
2018-2019,1481907.77,1505701.95
2019-2020,2631093.50,2608898.16
2020-2021,675105.26,643528.00
2021-2022,138233.12,128959.31
2022-2023,70697.71,63492.23
