d_vendor_name,overall_total
AVI SPL CANADA,472306.67
MICROSOFT CANADA,315501.93
MNP,245547.21
OXFORD ECONOMICS USA,202805.38
XEROX,104346.99
MCCARTHY TETRAULT,100000.00
DELOITTE AND TOUCHE,96600.00
LIONBRIDGE,89270.00
PRICEWATERHOUSE COOPERS,72204.90
OPENTEXT,66162.67
ADVANCED CHIPPEWA TECHNOLOGIES,40579.88
WORKDYNAMICS TECHNOLOGIES,38942.40
THE MASHA KRUPP TRANSLATION GROUP,32812.50
EPERFORMANCE,32240.25
ADVANCED BUSINESS INTERIORS,31486.81
NISHA TECHONOLOGIES,28042.19
CDW CANADA,26570.30
ERNST YOUNG,26250.00
GLOBAL TOTAL OFFICE,24617.56
ALTIS HUMAN RESOURCES,24139.25
CARAHSOFT TECHNOLOGY,17401.13
ASOKAN BUSINESS INTERIORS,17091.25
SOFTCHOICE,16028.25
THOMSON REUTERS,15825.60
ORACLE CANADA,13551.74
CNW GROUP,12995.00
HAWORTH,12270.44
GLOBAL KNOWLEDGE,10815.00
CANON,5858.16
