d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
AB SCIEX,2017-2018,35727.86,36821.14
AB SCIEX,2018-2019,37823.97,38515.23
AB SCIEX,2019-2020,146248.68,144238.13
AB SCIEX,2020-2021,56470.64,53847.23
AB SCIEX,2021-2022,57341.60,53658.03
ACKLANDS GRAINGER,2017-2018,18897.04,19511.41
AGILENT,2017-2018,310192.51,319105.59
AGILENT,2018-2019,89542.76,90985.95
AGILENT,2019-2020,106868.75,106328.07
AGILENT,2020-2021,40503.83,38601.53
AGILENT,2021-2022,126663.46,118791.86
AINSWORTH,2017-2018,5005.33,5158.74
AINSWORTH,2018-2019,5005.33,5096.82
AINSWORTH,2019-2020,5019.04,4978.76
AINSWORTH,2020-2021,1945.36,1859.53
AINSWORTH,2021-2022,3227.53,3020.20
ASOKAN BUSINESS INTERIORS,2019-2020,38802.51,38570.48
AVI SPL,2019-2020,36957.13,36679.23
AVI SPL,2020-2021,10207.34,9681.07
AVI SPL,2021-2022,30197.53,27645.11
BDO CANADA,2017-2018,17967.84,18462.98
BDO CANADA,2018-2019,60702.16,62201.10
BECKMAN COULTER CANADA,2019-2020,614.93,600.28
BECKMAN COULTER CANADA,2020-2021,17688.51,16958.51
BECKMAN COULTER CANADA,2021-2022,4879.35,4565.90
BELL CANADA,2020-2021,37214.23,35295.53
BELL CANADA,2021-2022,25963.42,24738.16
BIO RAD LABORATORIES CANADA,2017-2018,24992.01,25860.48
BIO RAD LABORATORIES CANADA,2020-2021,11165.70,10728.44
BLACK MCDONALD,2017-2018,13597.50,13978.07
BLACKBERRY,2019-2020,5126.66,5004.54
BLACKBERRY,2020-2021,43450.52,41452.62
BLACKBERRY,2021-2022,86424.69,80936.96
BRUKER,2018-2019,136721.17,137887.16
BRUKER,2020-2021,31463.25,29841.06
BUREAU VERITAS,2019-2020,4528.90,4439.40
BUREAU VERITAS,2020-2021,12523.10,11939.20
BUREAU VERITAS,2021-2022,13724.60,12808.36
CALIAN,2019-2020,23460.68,23259.90
CALIAN,2020-2021,1072.49,1010.71
CDW CANADA,2018-2019,12375.87,12654.08
CDW CANADA,2019-2020,489.04,477.39
CDW CANADA,2020-2021,10010.96,9546.60
CHARRON HUMAN RESOURCES,2019-2020,47912.00,47253.39
CITRIX,2018-2019,6883.34,6942.05
CITRIX,2019-2020,79361.22,78355.09
CITRIX,2020-2021,61729.41,58851.24
CITRIX,2021-2022,63045.12,58995.17
COMPUCOM CANADA,2017-2018,48250.58,49748.62
COMPUGEN,2017-2018,53717.57,55337.09
COMPUGEN,2018-2019,78370.41,79841.15
COMPUGEN,2019-2020,56749.63,56383.45
COMPUGEN,2020-2021,48627.96,46353.84
COMPUGEN,2021-2022,48007.60,44923.64
CONTROLLED ENVIRONMENTS,2017-2018,23005.50,23654.94
COSSETTE COMMUNICATIONS,2020-2021,132888.00,126929.00
COSSETTE COMMUNICATIONS,2021-2022,113000.00,105026.82
D MARK BIOSCIENCES,2021-2022,28378.90,25804.10
DATA COMMUNICATIONS MANAGEMENT,2017-2018,56866.43,58609.34
DATA COMMUNICATIONS MANAGEMENT,2018-2019,56866.43,57905.89
DATA COMMUNICATIONS MANAGEMENT,2019-2020,9659.50,9694.64
DATA COMMUNICATIONS MANAGEMENT,2020-2021,104040.70,99423.48
DATA COMMUNICATIONS MANAGEMENT,2021-2022,125329.55,117278.51
DECISIVE GROUP,2019-2020,62586.72,61608.69
DECISIVE GROUP,2020-2021,73323.43,69543.01
DECISIVE GROUP,2021-2022,123240.35,114541.60
DELL COMPUTER,2017-2018,153933.73,159233.68
DELL COMPUTER,2018-2019,241182.67,244212.59
DELL COMPUTER,2019-2020,500938.31,499271.34
DELL COMPUTER,2020-2021,264073.19,252063.15
DELL COMPUTER,2021-2022,127013.75,115489.88
DELOITTE,2021-2022,13193.75,12166.51
DLS TECHNOLOGY,2020-2021,3361.70,3188.37
DLS TECHNOLOGY,2021-2022,25173.64,23645.57
DYNABOOK CANADA,2020-2021,32726.40,31442.56
ESBE SCIENTIFIC INDUSTRIES,2018-2019,12810.83,13021.62
FCA CANADA,2017-2018,24130.05,24918.11
FCA CANADA,2018-2019,53268.74,54269.31
FCA CANADA,2020-2021,105854.94,101176.29
FELIX TECHNOLOGY,2017-2018,96150.60,98957.24
FELIX TECHNOLOGY,2021-2022,9045.76,8419.28
GARDA SECURITY GROUP,2017-2018,7565.30,7795.65
GARDA SECURITY GROUP,2018-2019,9083.34,9249.37
GARDA SECURITY GROUP,2019-2020,1518.04,1523.56
GENERAL MOTORS,2020-2021,35578.20,34009.47
GENOME QUEBEC,2018-2019,33205.20,33961.23
GENOME QUEBEC,2019-2020,23347.80,22791.64
GENOME QUEBEC,2020-2021,13739.16,13030.80
GENOME QUEBEC,2021-2022,9475.29,9028.13
GLASSHOUSE SYSTEMS,2020-2021,105.75,100.29
GLASSHOUSE SYSTEMS,2021-2022,38597.45,36117.99
GLOBAL KNOWLEDGE,2017-2018,28754.25,29674.81
GLOBAL KNOWLEDGE,2018-2019,24995.25,25351.49
GLOBAL KNOWLEDGE,2020-2021,42449.53,40605.89
GLOBAL KNOWLEDGE,2021-2022,68575.37,64901.03
HYPERTEC,2019-2020,13623.75,13607.31
HYPERTEC,2021-2022,58380.00,55624.96
IBM CANADA,2017-2018,481.46,494.72
IBM CANADA,2018-2019,35146.22,35788.66
IBM CANADA,2019-2020,97547.61,96603.95
IBM CANADA,2020-2021,35146.22,33507.51
IBM CANADA,2021-2022,356635.83,332876.08
ILLUMINA CANADA,2020-2021,2289.94,2171.88
ILLUMINA CANADA,2021-2022,34310.06,31642.64
INFO TECH RESEARCH GROUP,2017-2018,115689.34,119129.96
INFO TECH RESEARCH GROUP,2019-2020,10649.70,10508.69
INFO TECH RESEARCH GROUP,2020-2021,15930.90,15188.12
INFO TECH RESEARCH GROUP,2021-2022,15930.90,14907.52
INLAND AUDIO VISUAL,2017-2018,92588.46,95481.60
INLAND AUDIO VISUAL,2018-2019,28460.68,28941.01
INLAND AUDIO VISUAL,2019-2020,5015.37,5033.61
INSIGHT SOFTWARE CANADA,2019-2020,10657.06,10644.20
INSIGHT SOFTWARE CANADA,2020-2021,30532.18,29138.09
INTEGRA NETWORKS,2017-2018,59844.61,61613.04
INTEGRA NETWORKS,2018-2019,20487.19,20782.37
INTEGRA NETWORKS,2019-2020,68669.30,67749.14
INTEGRA NETWORKS,2020-2021,65924.96,62789.00
INTEGRA NETWORKS,2021-2022,46759.52,43755.74
IPSOS,2017-2018,66661.42,68771.59
IPSS,2021-2022,72853.90,67021.63
IRON MOUNTAIN,2018-2019,14010.03,14266.12
IRON MOUNTAIN,2019-2020,11753.55,11659.23
IRON MOUNTAIN,2020-2021,10967.99,10456.45
IRON MOUNTAIN,2021-2022,10908.21,10207.48
ITEX,2019-2020,125193.92,123952.43
ITEX,2020-2021,76381.97,72291.96
LIFE TECHNOLOGIES,2017-2018,238387.34,245591.89
LIFE TECHNOLOGIES,2018-2019,343338.62,349484.45
LIFE TECHNOLOGIES,2019-2020,442338.04,437617.65
LIFE TECHNOLOGIES,2020-2021,393136.87,374806.65
LIFE TECHNOLOGIES,2021-2022,318276.66,299861.52
MELTWATER,2019-2020,11486.54,11287.54
MELTWATER,2020-2021,36448.40,34766.24
MELTWATER,2021-2022,36743.47,34561.01
MICROSOFT CANADA,2017-2018,69066.25,71183.08
MICROSOFT CANADA,2018-2019,46307.37,47153.82
MICROSOFT CANADA,2019-2020,44446.85,44090.16
MICROSOFT CANADA,2020-2021,132798.59,126606.78
MICROSOFT CANADA,2021-2022,132798.59,124267.74
NISHA TECHONOLOGIES,2018-2019,71270.99,72074.71
NISHA TECHONOLOGIES,2019-2020,50143.56,49563.12
NISHA TECHONOLOGIES,2020-2021,38140.33,36469.42
NITAM SOLUTIONS,2019-2020,20095.10,19906.03
NORTHERN MICRO,2017-2018,40397.67,41510.91
NORTHERN MICRO,2020-2021,47915.85,45833.01
NORTHERN MICRO,2021-2022,32694.16,30560.33
NOVIPRO,2020-2021,37456.65,35710.21
NOVIPRO,2021-2022,91.25,82.97
ONX ENTERPRISE SOLUTIONS,2017-2018,67847.92,70205.64
ORBIS RISK CONSULTING,2020-2021,3666.70,3477.65
ORBIS RISK CONSULTING,2021-2022,152238.05,142937.72
OXFORD NANOPORE TECHNOLOGIES,2019-2020,14043.30,13708.78
OXFORD NANOPORE TECHNOLOGIES,2021-2022,30610.48,27991.85
PITNEY BOWES,2018-2019,3618.44,3672.61
PITNEY BOWES,2019-2020,5495.23,5451.13
PITNEY BOWES,2020-2021,5480.21,5224.70
PITNEY BOWES,2021-2022,2747.61,2608.33
PRA,2019-2020,680.73,664.51
PRA,2020-2021,12423.27,11844.03
PRICEWATERHOUSE COOPERS,2018-2019,14863.26,15022.32
PRICEWATERHOUSE COOPERS,2019-2020,43870.58,43518.52
PRICEWATERHOUSE COOPERS,2020-2021,43750.72,41710.82
PRICEWATERHOUSE COOPERS,2021-2022,43750.72,40940.22
PROSCI CANADA,2019-2020,45197.25,44417.49
PROSCI CANADA,2020-2021,10666.05,10116.12
PROSCI CANADA,2021-2022,5713.95,5444.30
PURESPIRIT SOLUTIONS,2020-2021,584110.82,554571.97
PURESPIRIT SOLUTIONS,2021-2022,13420.26,12693.43
RAYMOND CHABOT GRANT THORNTON,2017-2018,39353.25,40467.12
RAYMOND CHABOT GRANT THORNTON,2018-2019,51305.87,52243.69
RAYMOND CHABOT GRANT THORNTON,2019-2020,51446.44,51033.57
RAYMOND CHABOT GRANT THORNTON,2020-2021,8574.41,8080.48
RHEA,2021-2022,29452.50,27258.16
SAMSON ASSOCIES,2018-2019,5081.78,5125.12
SAMSON ASSOCIES,2019-2020,38536.85,38677.02
SAS INSTITUTE,2017-2018,45872.73,47278.14
SAS INSTITUTE,2018-2019,36837.90,37510.25
SAS INSTITUTE,2019-2020,38042.27,37738.63
SOFTCHOICE,2017-2018,34242.25,35257.31
SOFTCHOICE,2018-2019,71182.03,72590.53
SOFTCHOICE,2019-2020,100387.70,100257.52
SOFTCHOICE,2020-2021,41744.86,39802.36
SOFTCHOICE,2021-2022,45757.39,42760.56
SUPREMEX,2018-2019,10444.35,10533.42
TERVITA,2017-2018,64796.32,66768.31
TERVITA,2018-2019,78678.15,80116.30
TERVITA,2019-2020,78893.70,78260.57
TERVITA,2020-2021,14226.73,13407.21
THERMO FISHER SCIENTIFIC,2017-2018,926352.13,952446.40
THERMO FISHER SCIENTIFIC,2018-2019,1302664.82,1326196.69
THERMO FISHER SCIENTIFIC,2019-2020,295553.86,292429.68
THERMO FISHER SCIENTIFIC,2020-2021,336338.52,320467.36
THERMO FISHER SCIENTIFIC,2021-2022,601268.13,561520.67
TOTEM OFFISOURCE,2021-2022,19354.86,17817.43
TYCO INTEGRATED FIRE SECURITY,2018-2019,16620.45,16777.69
TYCO INTEGRATED FIRE SECURITY,2021-2022,3711.84,3375.07
VMWARE,2019-2020,27851.00,27726.80
VWR INTERNATIONAL,2017-2018,29414.37,30436.52
VWR INTERNATIONAL,2020-2021,104500.66,99466.62
WATERS,2017-2018,307155.15,316578.95
WATERS,2018-2019,355099.45,361278.72
WATERS,2019-2020,368135.92,365317.21
WATERS,2020-2021,80006.38,76211.37
WATERS,2021-2022,484499.76,447638.92
XEROX,2017-2018,14536.49,14960.16
XEROX,2018-2019,44186.87,44931.56
XEROX,2019-2020,64244.66,63684.90
XEROX,2020-2021,68584.03,65386.26
XEROX,2021-2022,68584.03,64178.26
