d_vendor_name,overall_total
THERMO FISHER SCIENTIFIC,3073977.49
LIFE TECHNOLOGIES,1417200.87
DELL COMPUTER,1160127.90
WATERS,1110396.90
PURESPIRIT SOLUTIONS,584110.82
AGILENT,547107.86
MICROSOFT CANADA,292619.06
AB SCIEX,276271.16
SOFTCHOICE,247556.84
TERVITA,236594.90
DATA COMMUNICATIONS MANAGEMENT,227433.05
INTEGRA NETWORKS,214926.06
ITEX,201575.89
XEROX,191552.04
FCA CANADA,183253.73
IBM CANADA,168321.51
BRUKER,168184.42
NISHA TECHONOLOGIES,159554.88
RAYMOND CHABOT GRANT THORNTON,150679.96
CITRIX,147973.97
INFO TECH RESEARCH GROUP,142269.95
DECISIVE TECHNOLOGIES,135910.15
VWR INTERNATIONAL,133915.03
COSSETTE COMMUNICATIONS,132888.00
INLAND AUDIO VISUAL,126064.51
SAS INSTITUTE,120752.91
PRICEWATERHOUSE COOPERS,99893.46
GLOBAL KNOWLEDGE,96199.03
FELIX TECHNOLOGY,96150.60
BDO CANADA,78670.00
GENOME QUEBEC,70292.16
ONX ENTERPRISE SOLUTIONS,67847.92
IPSOS,66661.42
PROSCI CANADA,55863.30
BLACKBERRY,48577.19
COMPUCOM CANADA,48250.58
CHARRON HUMAN RESOURCES,47912.00
AVI SPL CANADA,47164.47
ASOKAN BUSINESS INTERIORS,38802.51
BELL CANADA,37214.23
IRON MOUNTAIN,36731.57
GENERAL MOTORS,35578.20
DYNABOOK CANADA,32726.40
VMWARE,27851.00
CALIAN,24533.17
CDW CANADA,22875.87
NITAM SOLUTIONS,20095.10
ACKLANDS GRAINGER,18897.04
BUREAU VERITAS CANADA,17052.00
AINSWORTH,16975.06
TYCO INTEGRATED FIRE SECURITY,16620.45
PITNEY BOWES,14593.89
HYPERTEC,13623.75
BLACK MCDONALD,13597.50
PRA,13104.00
ESBE SCIENTIFIC INDUSTRIES,12810.83
SUPREMEX,10444.35
DLS TECHNOLOGY,3361.70
ILLUMINA CANADA,2289.94
GLASSHOUSE SYSTEMS,105.75
