d_vendor_name,overall_total
THERMO FISHER SCIENTIFIC,3981182.31
LIFE TECHNOLOGIES,1735477.53
WATERS,1594896.66
DELL COMPUTER,1287141.65
AGILENT,673771.31
PURESPIRIT SOLUTIONS,597531.08
IBM CANADA,524957.34
MICROSOFT CANADA,425417.64
DATA COMMUNICATIONS MANAGEMENT,352762.60
AB SCIEX,333612.76
SOFTCHOICE,293314.24
INTEGRA NETWORKS,261685.58
XEROX,260136.07
DECISIVE TECHNOLOGIES,259150.51
TERVITA,236594.90
CITRIX,211019.09
ITEX,201575.89
FCA CANADA,183253.73
BRUKER,168184.42
GLOBAL KNOWLEDGE,164774.40
NISHA TECHONOLOGIES,159554.88
INFO TECH RESEARCH GROUP,158200.85
RAYMOND CHABOT GRANT THORNTON,150679.96
PRICEWATERHOUSE COOPERS,142538.03
COSSETTE COMMUNICATIONS,135464.40
BLACKBERRY,135001.87
VWR INTERNATIONAL,133915.03
SAS INSTITUTE,120752.91
FELIX TECHNOLOGY,105196.36
GENOME QUEBEC,79767.45
BDO CANADA,78670.00
AVI SPL CANADA,77362.00
IPSS,72853.90
HYPERTEC,72003.75
ONX ENTERPRISE SOLUTIONS,67847.92
IPSOS,66661.42
BELL CANADA,63177.65
PROSCI CANADA,61577.25
COMPUCOM CANADA,48250.58
CHARRON HUMAN RESOURCES,47912.00
IRON MOUNTAIN,47639.78
ASOKAN BUSINESS INTERIORS,38802.51
GLASSHOUSE SYSTEMS,38703.20
ILLUMINA CANADA,36600.00
GENERAL MOTORS,35578.20
DYNABOOK CANADA,32726.40
BUREAU VERITAS CANADA,30776.60
RHEA,29452.50
DLS TECHNOLOGY,28535.34
D MARK BIOSCIENCES,28378.90
VMWARE,27851.00
CALIAN,24533.17
BECKMAN COULTER CANADA,23182.78
CDW CANADA,22875.87
TYCO INTEGRATED FIRE SECURITY,20332.29
AINSWORTH,20202.59
NITAM SOLUTIONS,20095.10
TOTEM OFFISOURCE,19354.86
ACKLANDS GRAINGER,18897.04
PITNEY BOWES,17341.50
BLACK MCDONALD,13597.50
DELOITTE AND TOUCHE,13193.75
PRA,13104.00
ESBE SCIENTIFIC INDUSTRIES,12810.83
SUPREMEX,10444.35
