d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,442050.48
1_facilities_and_construction,2018-2019,490722.97
1_facilities_and_construction,2019-2020,689980.65
1_facilities_and_construction,2020-2021,503971.41
10_office_management,2017-2018,180712.33
10_office_management,2018-2019,275038.69
10_office_management,2019-2020,205439.91
10_office_management,2020-2021,229268.09
2_professional_services,2017-2018,326701.46
2_professional_services,2018-2019,362474.75
2_professional_services,2019-2020,474074.26
2_professional_services,2020-2021,495461.58
3_information_technology,2017-2018,919637.55
3_information_technology,2018-2019,783937.50
3_information_technology,2019-2020,1638519.54
3_information_technology,2020-2021,1996982.19
5_transportation_and_logistics,2017-2018,68884.50
5_transportation_and_logistics,2018-2019,98023.19
5_transportation_and_logistics,2019-2020,65461.90
5_transportation_and_logistics,2020-2021,227244.77
6_industrial_products_and_services,2017-2018,2565103.28
6_industrial_products_and_services,2018-2019,3137971.30
6_industrial_products_and_services,2019-2020,1774746.58
6_industrial_products_and_services,2020-2021,1728582.63
8_security_and_protection,2017-2018,7565.30
8_security_and_protection,2018-2019,9083.34
8_security_and_protection,2019-2020,1518.04
9_human_capital,2017-2018,259975.67
9_human_capital,2018-2019,170927.90
9_human_capital,2019-2020,221404.02
9_human_capital,2020-2021,211005.74
