d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,1294727.11,1334175.36
1_facilities_and_construction,2018-2019,1451852.53,1479847.90
1_facilities_and_construction,2019-2020,1412311.86,1401160.40
1_facilities_and_construction,2020-2021,1477181.33,1407073.00
1_facilities_and_construction,2021-2022,1543917.83,1434053.54
1_facilities_and_construction,2022-2023,1710135.21,1530155.51
2_professional_services,2017-2018,65404.39,67426.11
2_professional_services,2018-2019,65404.39,66657.75
2_professional_services,2019-2020,65583.58,65060.42
2_professional_services,2020-2021,65404.39,62285.96
2_professional_services,2021-2022,65404.39,60808.14
