normalized_vendor_name,original_vendor_name
TR PETROLEUM,TR Petroleum
TR PETROLEUM,tr petroleum
TR PETROLEUM,TR PETROLEUM
TR PETROLEUM,TR PETROLEUM LTD.
TR PETROLEUM,TR PEtroleum
TR PETROLEUM,TR PETROLEUM LTD
