d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,15953.220000000001
10_office_management,2019-2020,196156.13044444445
10_office_management,2020-2021,779518.3295555555
3_information_technology,2017-2018,76771.05
3_information_technology,2018-2019,905227.0700000001
3_information_technology,2019-2020,374787.4819334719
3_information_technology,2020-2021,1083591.381217213
6_industrial_products_and_services,2017-2018,324.6946653279786
6_industrial_products_and_services,2018-2019,22518.957141900937
6_industrial_products_and_services,2019-2020,9141.403654618474
6_industrial_products_and_services,2020-2021,634659.4571419009
