d_vendor_name,overall_total
DECISIVE GROUP,262929.76
IFATHOM,223740.00
HEWLETT PACKARD,209050.00
BELL CANADA,134699.14
PHOENIX STRATEGIC PERSPECTIVES,68108.59
GOSS GILROY,66641.75
CDW CANADA,54329.84
EXCEL HUMAN RESOURCES,51834.29
LEAN AGILITY,39550.00
KPMG,36725.00
SOFTCHOICE,31587.06
MAPLESOFT CONSULTING,31131.50
NORTHERN MICRO,28896.36
ORANGUTECH,25425.00
DELOITTE,24835.14
ACTION PERSONNEL OF OTTAWA HULL,21490.82
KONICA MINOLTA BUSINESS SOLUTIONS,9791.61
