category,total,percentage
2_professional_services,2917949.007403486,0.5596730854596149
1_facilities_and_construction,1104634.34,0.21187282841607163
3_information_technology,763616.1590508706,0.14646431817638836
9_human_capital,268549.72000000003,0.051508799506218575
10_office_management,158917.61444296365,0.030480968441706658
