d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2018-2019,551561.61,560139.20
1_facilities_and_construction,2019-2020,553072.73,548405.37
10_office_management,2019-2020,146694.46,146912.98
10_office_management,2020-2021,12223.15,11620.19
10_office_management,2021-2022,12223.15,9561.74
2_professional_services,2017-2018,592282.05,607500.26
2_professional_services,2018-2019,635223.26,645076.71
2_professional_services,2019-2020,732958.39,726703.75
2_professional_services,2020-2021,896347.47,853355.73
2_professional_services,2021-2022,661448.70,483115.48
3_information_technology,2017-2018,169170.74,173467.41
3_information_technology,2018-2019,179821.46,182268.97
3_information_technology,2019-2020,142602.47,141430.68
3_information_technology,2020-2021,333159.33,315657.73
3_information_technology,2021-2022,476678.72,322492.34
9_human_capital,2019-2020,131250.12,130142.50
9_human_capital,2020-2021,137299.60,130526.65
9_human_capital,2021-2022,230804.16,178046.63
