owner_org,d_fiscal_year,total,total_constant_2019_dollars
dfo-mpo,2017-2018,2015663.49,2065908.92
dfo-mpo,2018-2019,29240.14,29672.67
pwgsc-tpsgc,2017-2018,1083202.58,1112435.38
pwgsc-tpsgc,2020-2021,1245689.25,1186035.17
pwgsc-tpsgc,2021-2022,1840795.86,1709077.71
