d_fiscal_year,total,total_constant_2019_dollars
2017-2018,7531410.39,7761550.54
2018-2019,6178456.00,6273098.53
2019-2020,11753211.48,11674554.37
2020-2021,7610913.74,7246597.02
2021-2022,7764924.21,7259850.18
