d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,483783.92604045523
1_facilities_and_construction,2018-2019,7292450.89528265
1_facilities_and_construction,2019-2020,14668630.418506892
1_facilities_and_construction,2020-2021,14339624.081152534
11_defence,2017-2018,23142164.68585579
11_defence,2018-2019,42565590.281298
11_defence,2019-2020,33489960.446963105
11_defence,2020-2021,27959141.478702635
3_information_technology,2017-2018,1259310.5278499278
3_information_technology,2018-2019,1259310.5278499278
3_information_technology,2020-2021,403989.27171722567
6_industrial_products_and_services,2017-2018,15626251.2065058
6_industrial_products_and_services,2018-2019,15676206.726505801
6_industrial_products_and_services,2019-2020,11112750.449547952
8_security_and_protection,2017-2018,31280
8_security_and_protection,2018-2019,98500
