d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,2452089.18,2524012.43
1_facilities_and_construction,2018-2019,5802946.57,5894738.74
1_facilities_and_construction,2019-2020,9555734.01,9479032.43
1_facilities_and_construction,2020-2021,5728784.44,5459919.01
1_facilities_and_construction,2021-2022,15256.66,14536.68
2_professional_services,2020-2021,24690.24,23743.70
5_transportation_and_logistics,2017-2018,1136503.61,1172499.48
6_industrial_products_and_services,2019-2020,2104687.68,2069099.34
6_industrial_products_and_services,2020-2021,4132721.43,3940034.63
6_industrial_products_and_services,2021-2022,58784.57,55008.31
