d_most_recent_category,d_fiscal_year,total
11_defence,2017-2018,1957867.2450376456
11_defence,2018-2019,1989723.4650376455
11_defence,2019-2020,1206904.4661190966
2_professional_services,2017-2018,355387.27
5_transportation_and_logistics,2017-2018,246982.65999999997
5_transportation_and_logistics,2018-2019,196419.3
5_transportation_and_logistics,2019-2020,33332.259999999995
5_transportation_and_logistics,2020-2021,100053.5
7_travel,2017-2018,5017873.639744526
7_travel,2018-2019,4929726.571094891
7_travel,2019-2020,6138202.13540146
7_travel,2020-2021,8161003.960675182
