d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1088736.93,1125805.55
2018-2019,1181824.44,1195889.90
2019-2020,365918.04,365988.63
2020-2021,878221.00,846963.15
2021-2022,2166071.88,349528.59
