d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2019-2020,174883.63,170891.89
it_consulting_services,2020-2021,1595813.14,1519725.86
it_consulting_services,2021-2022,782604.25,738106.16
it_other,2017-2018,35434.38,36465.14
