d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,139229.63,142562.39
1_facilities_and_construction,2018-2019,324476.59,329081.30
1_facilities_and_construction,2019-2020,66507.83,65545.70
1_facilities_and_construction,2021-2022,2914.10,2675.61
10_office_management,2017-2018,307489.87,315827.26
10_office_management,2018-2019,218829.24,221868.08
10_office_management,2019-2020,99086.44,98358.43
10_office_management,2020-2021,66426.00,63149.22
10_office_management,2021-2022,66426.00,61672.89
2_professional_services,2017-2018,1677928.39,1721729.97
2_professional_services,2018-2019,838259.10,850061.76
2_professional_services,2019-2020,1418598.01,1404815.50
2_professional_services,2020-2021,1120908.02,1063651.89
2_professional_services,2021-2022,1301887.63,1203653.17
3_information_technology,2017-2018,4468894.21,4584196.27
3_information_technology,2018-2019,5652556.83,5741057.44
3_information_technology,2019-2020,3077914.88,3047179.25
3_information_technology,2020-2021,3631090.95,3453185.78
3_information_technology,2021-2022,2961591.01,2747032.54
4_medical,2017-2018,16950.00,17389.23
4_medical,2018-2019,13541.45,13752.04
4_medical,2019-2020,13578.55,13463.96
4_medical,2020-2021,12486.50,11870.54
4_medical,2021-2022,12486.50,11593.03
5_transportation_and_logistics,2018-2019,34255.00,34685.11
6_industrial_products_and_services,2018-2019,15447.10,15599.08
7_travel,2017-2018,2358459.98,2417575.42
7_travel,2018-2019,3252745.62,3311101.87
7_travel,2019-2020,4134088.54,4116704.42
7_travel,2020-2021,981243.93,926274.58
8_security_and_protection,2017-2018,427318.00,438237.08
8_security_and_protection,2018-2019,393935.84,400062.13
8_security_and_protection,2019-2020,403891.98,400483.55
8_security_and_protection,2020-2021,410795.64,390531.21
8_security_and_protection,2021-2022,283826.21,263517.02
9_human_capital,2017-2018,54900.55,56263.70
9_human_capital,2018-2019,37742.81,38254.69
9_human_capital,2019-2020,70205.22,69318.41
9_human_capital,2020-2021,18080.00,17024.45
9_human_capital,2021-2022,196189.13,180324.71
