d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,2100821.33,2165803.74
it_consulting_services,2018-2019,1654638.80,1686210.31
it_consulting_services,2019-2020,1425051.04,1408576.65
it_consulting_services,2020-2021,1451383.96,1381226.67
it_consulting_services,2021-2022,1525061.83,1415132.93
it_consulting_services,2022-2023,1414471.28,1263770.54
it_devices_equipment,2017-2018,283298.72,291890.20
it_devices_equipment,2018-2019,1350568.04,1378676.84
it_devices_equipment,2019-2020,260253.29,258516.37
it_devices_equipment,2020-2021,788673.79,753639.28
it_devices_equipment,2021-2022,178202.50,166180.28
it_devices_equipment,2022-2023,297719.69,264125.15
it_other,2017-2018,8552.56,8832.77
it_other,2018-2019,98129.75,99691.81
it_other,2019-2020,80001.21,79243.80
it_other,2020-2021,35155.95,33168.10
it_other,2021-2022,17769.35,16063.21
it_other,2022-2023,321689.86,287558.32
it_software_licensing,2017-2018,2076221.61,2140001.79
it_software_licensing,2018-2019,2549220.24,2597876.09
it_software_licensing,2019-2020,1314458.01,1304397.74
it_software_licensing,2020-2021,1395340.51,1328887.52
it_software_licensing,2021-2022,1292078.63,1201346.13
it_software_licensing,2022-2023,1295437.85,1159200.09
