d_most_recent_category,total,percentage
3_information_technology,15459263.714338893,0.4764622578282969
7_travel,7589561.148333333,0.23391407944653617
2_professional_services,5132316.590222308,0.15818057028154664
8_security_and_protection,1635941.4651040526,0.05042053609677634
9_human_capital,1250997.4299212294,0.038556367949452205
10_office_management,691831.5522268193,0.021322595273738892
1_facilities_and_construction,579765.06,0.017868649801305956
4_medical,56556.5,0.0017430996833226898
5_transportation_and_logistics,34255,0.0010557562729698396
6_industrial_products_and_services,15447.1,4.76087366054369e-4
