d_most_recent_category,total,percentage
3_information_technology,15508106.154338893,0.47796760631515
7_travel,7589561.148333333,0.2339140794465362
2_professional_services,5083474.150222308,0.15667522179469354
8_security_and_protection,1635941.4651040526,0.050420536096776346
9_human_capital,1250997.4299212294,0.03855636794945221
10_office_management,691831.5522268193,0.021322595273738896
1_facilities_and_construction,579765.06,0.01786864980130596
4_medical,56556.5,0.00174309968332269
5_transportation_and_logistics,34255,0.0010557562729698398
6_industrial_products_and_services,15447.1,4.7608736605436904e-4
