d_most_recent_category,total,percentage
3_information_technology,18087450.05,0.48529220433377873
7_travel,7589561.15,0.20363040948975095
2_professional_services,6465912.08,0.17348253718126427
8_security_and_protection,1919767.67,0.0515079949481403
9_human_capital,1748883.38,0.04692311338575235
10_office_management,758257.55,0.020344298213653394
1_facilities_and_construction,582679.16,0.015633472552258273
4_medical,69043.00,0.001852446286105526
5_transportation_and_logistics,34255.00,9.190728608337527e-4
6_industrial_products_and_services,15447.10,4.14450748462562e-4
