d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,283527.33
1_facilities_and_construction,2018-2019,2995175.6961130737
1_facilities_and_construction,2019-2020,3654114.3492579497
1_facilities_and_construction,2020-2021,1876662.5329622882
10_office_management,2018-2019,607572.65
