d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,3103767.6017821566
1_facilities_and_construction,2018-2019,3847708.5664735925
1_facilities_and_construction,2019-2020,7974539.947550757
1_facilities_and_construction,2020-2021,58370662.109197356
10_office_management,2017-2018,352475.2509017468
10_office_management,2018-2019,816347.5799790529
10_office_management,2019-2020,627701.5474401871
10_office_management,2020-2021,4955253.93427768
2_professional_services,2017-2018,30500659.603152517
2_professional_services,2018-2019,31180968.17212186
2_professional_services,2019-2020,34261314.22686649
2_professional_services,2020-2021,103415718.01586346
3_information_technology,2017-2018,5746020.0981389275
3_information_technology,2018-2019,5773855.086370033
3_information_technology,2019-2020,4202306.5510519715
3_information_technology,2020-2021,25598323.50439651
4_medical,2017-2018,11279758.522709403
4_medical,2018-2019,13474743.185107538
4_medical,2019-2020,35272538.11688623
4_medical,2020-2021,3450184758.863099
5_transportation_and_logistics,2017-2018,303523.52999999997
5_transportation_and_logistics,2018-2019,74172.08
5_transportation_and_logistics,2019-2020,346364.4384985161
5_transportation_and_logistics,2020-2021,12507498.349092377
6_industrial_products_and_services,2017-2018,6007762.107843361
6_industrial_products_and_services,2018-2019,5725821.600531546
6_industrial_products_and_services,2019-2020,8552652.391264368
6_industrial_products_and_services,2020-2021,176540004.42742318
7_travel,2019-2020,41937.8
8_security_and_protection,2018-2019,184284.02000000002
8_security_and_protection,2019-2020,2132816.485862069
8_security_and_protection,2020-2021,36083975.7124663
9_human_capital,2017-2018,2884995.4531346993
9_human_capital,2018-2019,2063007.1400066349
9_human_capital,2019-2020,1530947.4152945583
9_human_capital,2020-2021,3288849.804636551
NA,2017-2018,370755.60071428574
NA,2018-2019,319158.80665413535
NA,2019-2020,262970.361214062
NA,2020-2021,128954.81141751692
