d_vendor_name,overall_total
SWITCH HEALTH,624309216.15
PROLINE ADVANTAGE,373182500.00
CAE,282500000.00
MUFACTOR,256160830.00
FTI PROFESSIONAL GRADE,237300000.00
LIFELABS,219960579.84
THORNHILL MEDICAL,200451118.94
SUPERMAX HEALTHCARE CANADA,173645010.81
VIRTUAL POSSIBILITIES DIVISION,172977959.20
CANADIAN EMERGENCY VENTILATORS,169500000.00
CAMPBELL DRUG STORES,165206000.00
SPARTAN BIOSCIENCE,149048550.00
DYNACARE,149019057.65
LOGISTIK UNICORP,126408165.55
METRO LOGISTICS,125480141.01
FLUID ENERGY GROUP,116014546.07
ISOPLEX,113565000.00
THE STEVENS COMPANY,109291206.42
CEPHEID,107680593.20
LUMINULTRA TECHNOLOGIES,104272086.07
CANADIAN RED CROSS,102788729.00
WAZANA CLOTHING,99491989.67
ROCHE DIAGNOSTICS,96006030.03
FEDERAL EXPRESS CANADA,90484000.00
WOOLLY MAMMOTH OUTERWEAR,87343974.03
GLAXOSMITHKLINE,70970337.39
BIRON GROUPE SANTE,68310503.10
BIO NUCLEAR DIAGNOSTICS,67801700.46
PRIMED MEDICAL PRODUCTS,67337400.15
REDACTED,63047897.02
GREATER TORONTO AIRPORT AUTHORITY,62918280.13
ROUDEL MEDICAL AND SURGICAL,62257350.00
DELOITTE,61212912.74
MERIDIAN MEDICAL TECHNOLOGIES,59437811.70
INKSMITH,56579411.42
ESBE SCIENTIFIC INDUSTRIES,53822272.03
WINMAR,53215760.90
BIOMERIEUX CANADA,49168118.61
JOSEPH RIBKOFF,49048335.01
J STERLING INDUSTRIES,48840242.00
REACTOR ENGINEERING GROUP,48307500.00
CANADIAN CORPS OF COMMISSIONAIRES,47333149.30
AMD MEDICOM,46668041.60
LIFE TECHNOLOGIES,46447208.72
ABBOTT,45286302.18
PALADIN GROUP,42913030.91
STRYKER CANADA,42495837.34
SEQIRUS CANADA,42220986.61
GEORGE COUREY,39664078.02
ILLUMINA CANADA,37912072.75
GROUPE ROBERT,30333669.73
STANFIELDS,28046600.00
TORONTO STAMP,27177969.00
GARDA SECURITY GROUP,23990790.77
MUSTANG SURVIVAL,23652030.00
SEEGENE CANADA,22512142.19
CALKO GROUP,21081186.52
MICRONOSTYX,20626652.75
MEDTRONIC CANADA,18754700.40
GETINGE CANADA,18648640.56
TRUDELL HEALTHCARE SOLUTIONS,18381302.09
PRECISION ADM,18283200.00
URBAN VALLEY TRANSPORT,16580000.00
NORTHERN MICRO,16420839.12
G4S SECURITY SERVICES,16362400.00
CANADIAN PAEDIATRIC SOCIETY,16046415.06
ACCENTURE,15571932.36
BAXTER,15326469.68
CONFECTION AVENTURE,15084720.00
EMERGENT BIOSOLUTIONS,14401628.16
INTER MEDICO,14329225.89
VANCOUVER AIRPORT AUTHORITY,13866869.47
THERMO FISHER SCIENTIFIC,13055174.82
BOMIMED,12671539.58
AEROPORTS DE MONTREAL,12661901.63
ADPEARL,12023200.00
WESTCOMB OUTERWEAR,11757606.62
GALENVS SCIENCES,11442375.00
VANRX PHARMASYSTEMS,11118059.70
