d_fiscal_year,total,total_constant_2019_dollars
2017-2018,118512.84,121551.16
2018-2019,159527.49,161111.56
2019-2020,382065.28,377765.74
2020-2021,922728.11,878149.91
2021-2022,755705.65,701940.06
