d_fiscal_year,total,total_constant_2019_dollars
2017-2018,892315.67,919392.94
2018-2019,1533702.08,1558004.54
2019-2020,2612653.75,2591455.67
2020-2021,2507148.10,2391003.79
2021-2022,887338.97,830554.23
