d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
2_professional_services,2017-2018,41223.08,42145.06
8_security_and_protection,2017-2018,9129.40,9452.99
8_security_and_protection,2018-2019,4458416.64,4516506.56
8_security_and_protection,2019-2020,2011481.24,2007361.19
8_security_and_protection,2020-2021,2005985.39,1963835.09
8_security_and_protection,2021-2022,2005985.39,1523827.58
