owner_org,d_fiscal_year,total
dfo-mpo,2020-2021,11017.5
dnd-mdn,2018-2019,1414333.9344262294
dnd-mdn,2019-2020,2844210
dnd-mdn,2020-2021,1429876.0655737706
ec,2017-2018,19136.56
nrc-cnrc,2017-2018,259527.1
nrc-cnrc,2018-2019,56500
pch,2017-2018,104451.62016904581
pch,2018-2019,96072.88287095417
pch,2020-2021,26465.730000000003
pwgsc-tpsgc,2017-2018,24956.05
rcmp-grc,2020-2021,19155
