owner_org,d_fiscal_year,total
cbsa-asfc,2017-2018,174.20186301369864
cbsa-asfc,2018-2019,22141.76351333039
cbsa-asfc,2019-2020,20521.718387096775
cbsa-asfc,2020-2021,20465.64811827957
cihr-irsc,2020-2021,20978.683333333334
cnsc-ccsn,2017-2018,180784.72845188284
dnd-mdn,2017-2018,195298.25280144342
dnd-mdn,2018-2019,301829.16623678646
dnd-mdn,2019-2020,72777.94331434059
dnd-mdn,2020-2021,251767.26406748992
nrcan-rncan,2018-2019,19557.86
rcmp-grc,2020-2021,33872.2
ssc-spc,2017-2018,1856628.4700112399
ssc-spc,2018-2019,4498636.884454154
ssc-spc,2019-2020,4043327.434973764
ssc-spc,2020-2021,4314284.027160024
