d_fiscal_year,total,total_constant_2019_dollars
2017-2018,310478.42,319547.03
2018-2019,169801.75,172088.65
2019-2020,581440.32,573264.90
2020-2021,507665.99,483769.87
2021-2022,2316105.88,2161337.37
