d_most_recent_category,d_fiscal_year,total
11_defence,2018-2019,849079.754601227
11_defence,2019-2020,904203.4453987731
11_defence,2020-2021,163078.21000000002
5_transportation_and_logistics,2017-2018,1156942.06
5_transportation_and_logistics,2018-2019,800355.7617297297
5_transportation_and_logistics,2019-2020,500022.19089322106
5_transportation_and_logistics,2020-2021,1458302.2983132193
6_industrial_products_and_services,2018-2019,17026.84
6_industrial_products_and_services,2019-2020,55713
6_industrial_products_and_services,2020-2021,39086.25
