d_most_recent_category,total,percentage
6_industrial_products_and_services,2720648.46,0.4867
11_defence,2289203.03,0.4095
3_information_technology,305588.43,0.0547
10_office_management,220308.86,0.0394
5_transportation_and_logistics,26248.78,0.0047
1_facilities_and_construction,16674.92,0.003
0_other,11495.19,0.0021
