owner_org,d_fiscal_year,total
aandc-aadnc,2017-2018,1128873.9529096175
aandc-aadnc,2018-2019,118143.80676746661
aandc-aadnc,2019-2020,159752.83
aandc-aadnc,2020-2021,205922.85
nrcan-rncan,2018-2019,0
nrcan-rncan,2019-2020,0
nrcan-rncan,2020-2021,0
pc,2017-2018,311712.9242850947
pc,2018-2019,165076.69288777641
pc,2019-2020,69991.99837685251
pc,2020-2021,1932434.4434086098
pwgsc-tpsgc,2017-2018,2030354.6352160552
pwgsc-tpsgc,2018-2019,3932754.4419970745
pwgsc-tpsgc,2019-2020,4533957.514662362
pwgsc-tpsgc,2020-2021,5292363.732971287
rcmp-grc,2020-2021,10500
tc,2018-2019,17640
