d_fiscal_year,total,total_constant_2019_dollars
2017-2018,2796276.31,2873969.85
2018-2019,2440449.01,2474226.53
2019-2020,2447621.81,2442436.99
2020-2021,188998.99,189538.81
2021-2022,516617.31,396294.15
