d_most_recent_category,total,percentage
3_information_technology,377415121.72,0.35408695333869633
10_office_management,319499958.87,0.29975154814988375
2_professional_services,306925658.65,0.2879544700755194
8_security_and_protection,27648782.63,0.02593980114444127
4_medical,23431312.76,0.021983014646642884
9_human_capital,6199360.37,0.005816175608496747
6_industrial_products_and_services,3004023.99,0.002818344156402687
5_transportation_and_logistics,1208173.17,0.0011334955413283667
7_travel,360920.42,3.386117934272825e-4
1_facilities_and_construction,189285.34,1.7758554516127307e-4
