d_most_recent_category,total,percentage
3_information_technology,378984280.8107131,0.353522337878773
10_office_management,319612437.87591577,0.2981393740429612
2_professional_services,312514938.9117823,0.29151871837480214
8_security_and_protection,27648782.633464374,0.02579120763313738
4_medical,23431312.761761133,0.021857087184161565
9_human_capital,5255165.578201086,0.004902098886981555
6_industrial_products_and_services,3017106.601269917,0.002814403217539119
5_transportation_and_logistics,1208173.1723261476,0.0011270024274607846
7_travel,274571.2071630434,2.5612422463230596e-4
1_facilities_and_construction,76806.34,7.164612955088126e-5
